CLNR,X,Y,REG
31,691000,294000,CHNE
51,688000,293000,CHNE
137,684000,291000,CHNE
290,682000,289000,CHNE
372,683000,288000,CHNE
384,689000,288000,CHNE
456,684000,287000,CHNE
464,688000,287000,CHNE
468,690000,287000,CHNE
564,693000,286000,CHNE
805,705000,284000,CHNE
867,674000,283000,CHNE
895,688000,283000,CHNE
907,694000,283000,CHNE
924,706000,283000,CHNE
1036,695000,282000,CHNE
1053,705000,282000,CHNE
1174,680000,281000,CHNE
1206,696000,281000,CHNE
1222,704000,281000,CHNE
1239,720000,281000,CHNE
1365,681000,280000,CHNE
1369,685000,280000,CHNE
1402,703000,280000,CHNE
1421,718000,280000,CHNE
1427,721000,280000,CHNE
1431,723000,280000,CHNE
1584,698000,279000,CHNE
1592,702000,279000,CHNE
1803,697000,278000,CHNE
1819,705000,278000,CHNE
1823,707000,278000,CHNE
2046,708000,277000,CHNE
2054,712000,277000,CHNE
2074,722000,277000,CHNE
2235,682000,276000,CHNE
2258,698000,276000,CHNE
2276,707000,276000,CHNE
2320,729000,276000,CHNE
2330,734000,276000,CHNE
2512,700000,275000,CHNE
2524,706000,275000,CHNE
2548,718000,275000,CHNE
2560,724000,275000,CHNE
2786,699000,274000,CHNE
3062,678000,273000,CHNE
3110,704000,273000,CHNE
3170,734000,273000,CHNE
3388,662000,272000,CHNE
3390,663000,272000,CHNE
3459,710000,272000,CHNE
3493,727000,272000,CHNE
3513,737000,272000,CHNE
3515,738000,272000,CHNE
3517,739000,272000,CHNE
3747,662000,271000,CHNE
4127,651000,270000,CHNE
4155,665000,270000,CHNE
4161,679000,270000,CHNE
4273,735000,270000,CHNE
4638,686000,269000,CHNE
4650,692000,269000,CHNE
4658,696000,269000,CHNE
4702,718000,269000,CHNE
5056,651000,268000,CHNE
5096,671000,268000,CHNE
5124,685000,268000,CHNE
5126,686000,268000,CHNE
5613,668000,267000,CHNE
5625,674000,267000,CHNE
5657,690000,267000,CHNE
5697,710000,267000,CHNE
6140,643000,266000,CHNE
6228,687000,266000,CHNE
6232,689000,266000,CHNE
6284,715000,266000,CHNE
6332,739000,266000,CHNE
6711,626000,265000,CHNE
6727,634000,265000,CHNE
6747,644000,265000,CHNE
6795,668000,265000,CHNE
6819,680000,265000,CHNE
7323,625000,264000,CHNE
7339,633000,264000,CHNE
7421,674000,264000,CHNE
7533,730000,264000,CHNE
7990,652000,263000,CHNE
8010,662000,263000,CHNE
8014,664000,263000,CHNE
8082,698000,263000,CHNE
8090,702000,263000,CHNE
8154,734000,263000,CHNE
8688,691000,262000,CHNE
8788,741000,262000,CHNE
8804,749000,262000,CHNE
9159,610000,261000,CHNE
9187,624000,261000,CHNE
9199,630000,261000,CHNE
9243,652000,261000,CHNE
9255,658000,261000,CHNE
9323,692000,261000,CHNE
9347,704000,261000,CHNE
9395,728000,261000,CHNE
9805,569000,260000,CHW
9871,625000,260000,CHNE
9907,643000,260000,CHNE
9929,654000,260000,CHNE
9931,655000,260000,CHNE
10001,690000,260000,CHNE
10007,693000,260000,CHNE
10009,694000,260000,CHNE
10015,697000,260000,CHNE
10025,702000,260000,CHNE
10035,707000,260000,CHNE
10063,721000,260000,CHNE
10537,602000,259000,CHW
10602,636000,259000,CHNE
10654,662000,259000,CHNE
10706,688000,259000,CHNE
10722,696000,259000,CHNE
10738,704000,259000,CHNE
10778,724000,259000,CHNE
10814,742000,259000,CHNE
11220,567000,258000,CHW
11228,571000,258000,CHW
11275,615000,258000,CHNE
11367,661000,258000,CHNE
11419,687000,258000,CHNE
11555,755000,258000,CHNE
11943,568000,257000,CHW
11947,570000,257000,CHW
11955,574000,257000,CHW
11963,578000,257000,CHW
11982,608000,257000,CHNE
12002,618000,257000,CHNE
12162,698000,257000,CHNE
12178,706000,257000,CHNE
12246,740000,257000,CHNE
12298,766000,257000,CHNE
12684,579000,256000,CHW
12692,602000,256000,CHW
12694,603000,256000,CHW
12698,605000,256000,CHNE
12708,610000,256000,CHNE
12722,617000,256000,CHNE
12726,619000,256000,CHNE
12758,635000,256000,CHNE
12778,645000,256000,CHNE
12790,651000,256000,CHNE
12914,713000,256000,CHNE
12930,721000,256000,CHNE
12950,731000,256000,CHNE
13006,759000,256000,CHNE
13398,572000,255000,CHW
13436,610000,255000,CHNE
13444,614000,255000,CHNE
13456,620000,255000,CHNE
13468,626000,255000,CHNE
13480,632000,255000,CHNE
13504,644000,255000,CHNE
13620,702000,255000,CHNE
13680,732000,255000,CHNE
14169,599000,254000,CHW
14173,601000,254000,CHW
14177,603000,254000,CHW
14193,611000,254000,CHNE
